source,publication_date,effective_date,citation,title,url,date
BIS Federal Register,03/28/2025,03/25/2025,90 FR 14046,Additions to the Entity List,https://www.govinfo.gov/content/pkg/FR-2025-03-28/pdf/2025-05427.pdf,2025-03-28
BIS Federal Register,03/28/2025,03/28/2025,90 FR 14032,Additions and Modifications to the Entity List,https://www.govinfo.gov/content/pkg/FR-2025-03-28/pdf/2025-05426.pdf,2025-03-28
BIS Federal Register,02/14/2025,02/11/2025,90 FR 9604,Implementation of Additional Due Diligence Measures for Advanced Computing Integrated Circuits; Amendments and Clarifications; and Extension of Comment Period; Correction,https://www.govinfo.gov/content/pkg/FR-2025-02-14/pdf/2025-02655.pdf,2025-02-14
BIS Federal Register,01/16/2025,01/16/2025,90 FR 5298,Implementation of Additional Due Diligence Measures for Advanced Computing Integrated Circuits; Amendments and Clarifications; and Extension of Comment Period,https://www.govinfo.gov/content/pkg/FR-2025-01-16/pdf/2025-00711.pdf,2025-01-16
BIS Federal Register,01/16/2025,01/16/2025,90 FR 4621,Additions to the Entity List,https://www.govinfo.gov/content/pkg/FR-2025-01-16/pdf/2025-00480.pdf,2025-01-16
BIS Federal Register,01/16/2025,01/16/2025,90 FR 4617,Addition of Entities to and Revision of Entry on the Entity List,https://www.govinfo.gov/content/pkg/FR-2025-01-16/pdf/2025-00704.pdf,2025-01-16
BIS Federal Register,01/16/2025,01/16/2025,90 FR 4612,Controls on Certain Laboratory Equipment and Related Technology To Address Dual Use Concerns About Biotechnology,https://www.govinfo.gov/content/pkg/FR-2025-01-16/pdf/2025-00723.pdf,2025-01-16
BIS Federal Register,01/15/2025,01/13/2025,90 FR 4544,Framework for Artificial Intelligence Diffusion,https://www.govinfo.gov/content/pkg/FR-2025-01-15/pdf/2025-00636.pdf,2025-01-15
BIS Federal Register,01/15/2025,N/A,90 FR 3624,Public Briefing on Framework for Artificial Intelligence Diffusion,https://www.govinfo.gov/content/pkg/FR-2025-01-15/pdf/2025-00637.pdf,2025-01-15
BIS Federal Register,01/06/2025,01/06/2025,90 FR 559,Revisions to the Entity List,https://www.govinfo.gov/content/pkg/FR-2025-01-06/pdf/2024-31468.pdf,2025-01-06
